Date,NOKOIS1w,NOKOIS1m,NOKOIS3m,NOKOIS6m
22/03/2008,5.25,5.25,5.41,5.51
23/03/2008,5.25,5.25,5.41,5.51
24/03/2008,5.25,5.26,5.42,5.52
25/03/2008,5.25,5.27,5.4,5.52
26/03/2008,5.25,5.28,5.49,5.52
27/03/2008,5.25,5.3,5.48,5.53
28/03/2008,5.25,5.31,5.25,5.53
29/03/2008,5.25,5.31,5.25,5.53
30/03/2008,5.25,5.31,5.25,5.53
31/03/2008,5.25,5.32,5.49,5.53
01/04/2008,5.25,5.33,5.44,5.53
02/04/2008,5.25,5.34,5.45,5.54
03/04/2008,5.28,5.44,5.53,5.6
04/04/2008,5.25,5.36,5.56,5.54
05/04/2008,5.25,5.36,5.56,5.54
06/04/2008,5.25,5.36,5.56,5.54
07/04/2008,5.25,5.37,5.49,5.55
08/04/2008,5.25,5.39,5.45,5.55
09/04/2008,5.25,5.4,5.49,5.52
10/04/2008,5.25,5.41,5.53,5.56
11/04/2008,5.25,5.42,5.45,5.56
12/04/2008,5.25,5.42,5.45,5.56
13/04/2008,5.25,5.42,5.45,5.56
14/04/2008,5.25,5.43,5.55,5.56
15/04/2008,5.25,5.44,5.47,5.57
16/04/2008,5.3,5.45,5.47,5.57
17/04/2008,5.35,5.47,5.51,5.59
18/04/2008,5.4,5.48,5.56,5.59
19/04/2008,5.4,5.48,5.56,5.59
20/04/2008,5.4,5.48,5.56,5.59
21/04/2008,5.45,5.49,5.53,5.59
22/04/2008,5.5,5.5,5.54,5.6
23/04/2008,5.5,5.5,5.51,5.6
24/04/2008,5.5,5.5,5.56,5.6
25/04/2008,5.5,5.5,5.52,5.6
26/04/2008,5.5,5.5,5.52,5.6
27/04/2008,5.5,5.5,5.52,5.6
28/04/2008,5.5,5.5,5.61,5.6
29/04/2008,5.5,5.5,5.54,5.6
30/04/2008,5.5,5.5,5.52,5.6
01/05/2008,5.5,5.5,5.54,5.61
02/05/2008,5.5,5.5,5.46,5.61
03/05/2008,5.5,5.5,5.46,5.61
04/05/2008,5.5,5.5,5.46,5.61
05/05/2008,5.5,5.5,5.54,5.61
06/05/2008,5.5,5.5,5.55,5.61
07/05/2008,5.48,5.56,5.63,5.69
08/05/2008,5.5,5.5,5.63,5.61
09/05/2008,5.5,5.5,5.68,5.66
10/05/2008,5.5,5.5,5.68,5.66
11/05/2008,5.5,5.5,5.68,5.66
12/05/2008,5.5,5.5,5.59,5.66
13/05/2008,5.5,5.5,5.56,5.66
14/05/2008,5.5,5.5,5.57,5.67
15/05/2008,5.5,5.5,5.6,5.67
16/05/2008,5.5,5.57,5.67,5.71
17/05/2008,5.5,5.57,5.67,5.71
18/05/2008,5.5,5.57,5.67,5.71
19/05/2008,5.5,5.57,5.67,5.71
20/05/2008,5.5,5.58,5.67,5.71
21/05/2008,5.52,5.58,5.68,5.71
22/05/2008,5.54,5.59,5.68,5.72
23/05/2008,5.56,5.59,5.69,5.72
24/05/2008,5.56,5.59,5.69,5.72
25/05/2008,5.56,5.59,5.69,5.72
26/05/2008,5.58,5.6,5.69,5.72
27/05/2008,5.6,5.6,5.69,5.72
28/05/2008,5.6,5.62,5.71,5.74
29/05/2008,5.5,5.52,5.58,5.64
30/05/2008,5.5,5.52,5.59,5.65
31/05/2008,5.5,5.52,5.59,5.65
01/06/2008,5.5,5.52,5.59,5.65
02/06/2008,5.5,5.52,5.59,5.65
03/06/2008,5.5,5.53,5.59,5.65
04/06/2008,5.5,5.53,5.59,5.65
05/06/2008,5.5,5.54,5.59,5.65
06/06/2008,5.5,5.61,5.72,5.8
07/06/2008,5.5,5.61,5.72,5.8
08/06/2008,5.5,5.61,5.72,5.8
09/06/2008,5.5,5.62,5.72,5.81
10/06/2008,5.5,5.59,5.66,5.74
11/06/2008,5.5,5.59,5.67,5.74
12/06/2008,5.5,5.56,5.6,5.66
13/06/2008,5.5,5.56,5.61,5.66
14/06/2008,5.5,5.56,5.61,5.66
15/06/2008,5.5,5.56,5.61,5.66
16/06/2008,5.5,5.57,5.61,5.66
17/06/2008,5.5,5.58,5.61,5.66
18/06/2008,5.5,5.58,5.61,5.66
19/06/2008,5.5,5.58,5.61,5.67
20/06/2008,5.5,5.61,5.64,5.69
21/06/2008,5.5,5.61,5.64,5.69
22/06/2008,5.5,5.61,5.64,5.69
23/06/2008,5.54,5.61,5.64,5.69
24/06/2008,5.61,5.66,5.69,5.73
25/06/2008,5.67,5.74,5.77,5.84
26/06/2008,5.75,5.75,5.77,5.84
27/06/2008,5.75,5.75,5.775757576,5.844015152
28/06/2008,5.75,5.75,5.775757576,5.844015152
29/06/2008,5.75,5.75,5.775757576,5.844015152
30/06/2008,5.75,5.75,5.777272727,5.845681818
01/07/2008,5.75,5.75,5.778787879,5.847348485
02/07/2008,5.75,5.75,5.78030303,5.849015152
03/07/2008,5.75,5.75,5.781818182,5.850681818
04/07/2008,5.75,5.75,5.783333333,5.852348485
05/07/2008,5.75,5.75,5.783333333,5.852348485
06/07/2008,5.75,5.75,5.783333333,5.852348485
07/07/2008,5.75,5.75,5.784848485,5.854015152
08/07/2008,5.75,5.75,5.786363636,5.855681818
09/07/2008,5.75,5.75,5.787878788,5.857348485
10/07/2008,5.75,5.75,5.789393939,5.859015152
11/07/2008,5.75,5.75,5.790909091,5.860757576
12/07/2008,5.75,5.75,5.790909091,5.860757576
13/07/2008,5.75,5.75,5.790909091,5.860757576
14/07/2008,5.75,5.75,5.792424242,5.862575758
15/07/2008,5.75,5.75,5.793939394,5.864393939
16/07/2008,5.75,5.752272727,5.795454545,5.866212121
17/07/2008,5.75,5.754545455,5.796969697,5.868030303
18/07/2008,5.75,5.756818182,5.798484848,5.869848485
19/07/2008,5.75,5.756818182,5.798484848,5.869848485
20/07/2008,5.75,5.756818182,5.798484848,5.869848485
21/07/2008,5.75,5.759090909,5.8,5.871666667
22/07/2008,5.75,5.761363636,5.801515152,5.873484848
23/07/2008,5.75,5.763636364,5.803030303,5.87530303
24/07/2008,5.75,5.765909091,5.804545455,5.877121212
25/07/2008,5.75,5.768181818,5.806060606,5.878939394
26/07/2008,5.75,5.768181818,5.806060606,5.878939394
27/07/2008,5.75,5.768181818,5.806060606,5.878939394
28/07/2008,5.75,5.770454545,5.807575758,5.880757576
29/07/2008,5.75,5.772727273,5.809090909,5.882575758
30/07/2008,5.75,5.775,5.810606061,5.884393939
31/07/2008,5.75,5.777272727,5.813333333,5.886212121
01/08/2008,5.75,5.770681818,5.799621212,5.876136364
02/08/2008,5.75,5.770681818,5.799621212,5.876136364
03/08/2008,5.75,5.770681818,5.799621212,5.876136364
04/08/2008,5.75,5.772272727,5.802272727,5.877954545
05/08/2008,5.75,5.773863636,5.804924242,5.879772727
06/08/2008,5.75,5.775454545,5.807575758,5.881590909
07/08/2008,5.755833333,5.777045455,5.810227273,5.883409091
08/08/2008,5.756666667,5.766363636,5.787575758,5.814393939
